epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87204,1.52854,4.22594,1.47383,0.98861,0.94118,0.9875,0.63414,1.20522,3.96495,1.37411,0.00018,0.00018,0.00018
2,9.40337,1.31183,2.06231,1.30672,0.47741,0.82353,0.66709,0.45974,1.2444,3.96249,1.24758,0.00037316,0.00037316,0.00037316
3,13.3519,1.34655,1.38365,1.27137,0.66974,0.94118,0.8945,0.56152,1.34923,4.55778,1.30428,0.00055912,0.00055912,0.00055912
4,16.63,1.27729,1.20041,1.24066,0.44029,0.76471,0.75632,0.51448,1.3005,5.96643,1.31472,0.00073788,0.00073788,0.00073788
5,19.9327,1.27343,1.04637,1.20525,0.29117,0.41176,0.38897,0.24615,1.34571,4.47682,1.48405,0.00090944,0.00090944,0.00090944
6,23.5973,1.24171,0.98119,1.2545,0.04876,0.76471,0.04307,0.02408,1.51679,15.9282,1.69401,0.0010738,0.0010738,0.0010738
7,27.5238,1.32957,0.8853,1.31025,0.01303,0.88235,0.01328,0.00709,1.63914,188.226,2.58512,0.00123096,0.00123096,0.00123096
8,30.7387,1.36283,0.89264,1.292,0.95304,0.35294,0.58146,0.26542,1.60402,1.75126,1.55134,0.00138092,0.00138092,0.00138092
9,33.8922,1.39372,0.92964,1.3106,0.9212,0.11765,0.16241,0.09899,2.15279,3.17201,2.00781,0.00152368,0.00152368,0.00152368
10,37.7276,1.2208,0.95597,1.21637,0.83156,0.87171,0.82843,0.5325,1.39822,1.03522,1.45592,0.00165924,0.00165924,0.00165924
11,41.2011,1.26537,0.83098,1.22383,1,0.82298,0.88143,0.57556,1.27388,1.10462,1.48587,0.00164,0.00164,0.00164
12,44.5002,1.25806,0.82732,1.21504,0.58187,0.47059,0.53267,0.36213,1.41116,1.73629,1.49735,0.001604,0.001604,0.001604
13,47.6408,1.24741,0.77322,1.19826,0.6289,0.49953,0.54317,0.34986,1.42775,1.55885,2.21846,0.001568,0.001568,0.001568
14,51.4108,1.18281,0.69792,1.18597,0.19015,0.52941,0.15979,0.08722,1.65943,2.055,2.45855,0.001532,0.001532,0.001532
15,54.8957,1.21447,0.68084,1.1856,0.92878,0.82353,0.91527,0.49648,1.64778,1.06282,1.69023,0.001496,0.001496,0.001496
16,58.0767,1.21865,0.69323,1.22068,0.80654,0.82353,0.8401,0.46729,1.61707,1.29074,1.70918,0.00146,0.00146,0.00146
17,61.3519,1.23551,0.73289,1.21999,0.94711,0.76471,0.8593,0.57925,1.37213,1.28934,1.6,0.001424,0.001424,0.001424
18,65.2727,1.19422,0.73156,1.18791,0.881,0.94118,0.94749,0.59462,1.36126,0.75296,1.51878,0.001388,0.001388,0.001388
19,68.6061,1.08391,0.62008,1.14045,0.93674,0.94118,0.94898,0.60965,1.37735,0.72261,1.48477,0.001352,0.001352,0.001352
20,71.8577,1.1915,0.69507,1.22025,0.93885,1,0.98889,0.63171,1.41634,0.6279,1.47964,0.001316,0.001316,0.001316
21,75.2009,1.09616,0.6408,1.14448,0.97151,0.82353,0.91032,0.54889,1.46489,0.88281,1.5019,0.00128,0.00128,0.00128
22,79.1431,1.13272,0.65123,1.16158,0.71004,0.76471,0.69765,0.4127,1.43446,0.96781,1.59091,0.001244,0.001244,0.001244
23,82.298,1.11707,0.60227,1.15997,0.9306,0.88235,0.90182,0.58431,1.35571,0.76003,1.40474,0.001208,0.001208,0.001208
24,85.5058,1.01886,0.58598,1.1322,0.98483,0.88235,0.98083,0.57573,1.44513,0.80958,1.50153,0.001172,0.001172,0.001172
25,89.2159,1.04987,0.6256,1.12895,1,0.88157,0.90787,0.56215,1.35351,1.73433,1.42474,0.001136,0.001136,0.001136
26,92.9092,1.03358,0.5899,1.13873,0.986,0.76471,0.82921,0.5447,1.34044,1.23892,1.43024,0.0011,0.0011,0.0011
27,96.0866,1.05735,0.58048,1.09685,0.99467,0.88235,0.89738,0.53097,1.47334,0.8187,1.51651,0.001064,0.001064,0.001064
28,99.3088,1.09816,0.60875,1.12061,0.97554,0.70588,0.73784,0.44752,1.51297,1.12797,1.64619,0.001028,0.001028,0.001028
29,103.303,1.02265,0.56208,1.10253,0.93143,0.82353,0.82867,0.52366,1.43635,0.98066,1.59397,0.000992,0.000992,0.000992
30,106.604,0.97952,0.54116,1.09209,0.93577,0.94118,0.95751,0.62289,1.26869,0.62494,1.35058,0.000956,0.000956,0.000956
31,109.872,1.00778,0.54677,1.09291,0.93648,1,0.99222,0.65667,1.23219,0.49472,1.2998,0.00092,0.00092,0.00092
32,113.09,1.0017,0.54817,1.10597,0.94354,1,0.995,0.67224,1.25064,0.52607,1.30116,0.000884,0.000884,0.000884
33,117.113,0.96537,0.53888,1.06574,0.99493,1,0.995,0.66294,1.24573,0.4777,1.33696,0.000848,0.000848,0.000848
34,120.352,0.96477,0.53491,1.09266,0.99636,1,0.995,0.67352,1.28579,0.48346,1.35092,0.000812,0.000812,0.000812
35,123.675,0.96391,0.50979,1.10266,0.9958,1,0.995,0.67765,1.30489,0.48138,1.35371,0.000776,0.000776,0.000776
36,127.323,0.90616,0.49547,1.05834,0.98639,1,0.995,0.67048,1.23134,0.4592,1.35947,0.00074,0.00074,0.00074
37,131.026,0.90835,0.50362,1.06292,0.9747,1,0.995,0.66049,1.31364,0.50494,1.45667,0.000704,0.000704,0.000704
38,134.421,0.84729,0.48779,1.03028,0.9779,1,0.995,0.61204,1.29638,0.50941,1.40344,0.000668,0.000668,0.000668
39,137.643,0.90903,0.48431,1.06683,0.98766,1,0.995,0.61307,1.24399,0.51075,1.36178,0.000632,0.000632,0.000632
40,141.718,0.86696,0.47219,1.04333,0.99147,1,0.995,0.65138,1.24372,0.48748,1.32514,0.000596,0.000596,0.000596
41,145.082,0.83394,0.4574,1.01686,0.94419,1,0.995,0.64149,1.28744,0.49043,1.35533,0.00056,0.00056,0.00056
42,148.408,0.80545,0.45662,1.02822,0.9414,1,0.98222,0.68581,1.25167,0.50763,1.33967,0.000524,0.000524,0.000524
43,151.774,0.81064,0.44939,1.01194,0.94152,1,0.98556,0.7031,1.19738,0.48631,1.32576,0.000488,0.000488,0.000488
44,155.802,0.80413,0.44001,1.00011,0.94156,1,0.98556,0.69201,1.22858,0.48833,1.33237,0.000452,0.000452,0.000452
45,159.075,0.79957,0.45887,0.99424,0.94153,1,0.97889,0.71458,1.20229,0.48725,1.31165,0.000416,0.000416,0.000416
46,164.072,0.78162,0.41851,1.02105,0.94138,1,0.97556,0.70353,1.19507,0.49137,1.30462,0.00038,0.00038,0.00038
47,168.622,0.72267,0.3978,0.96763,0.94127,1,0.97556,0.70023,1.18934,0.48362,1.30524,0.000344,0.000344,0.000344
48,171.9,0.73278,0.41377,0.98892,0.94126,1,0.98889,0.69848,1.14452,0.46728,1.27633,0.000308,0.000308,0.000308
49,175.007,0.72722,0.38403,0.95937,0.94124,1,0.99222,0.69199,1.13684,0.45634,1.28182,0.000272,0.000272,0.000272
50,178.234,0.71076,0.36012,0.98787,0.94117,1,0.99222,0.7089,1.12083,0.42976,1.26613,0.000236,0.000236,0.000236
51,182.187,0.70961,0.36934,0.99462,0.94124,1,0.99222,0.70322,1.13664,0.42843,1.27156,0.0002,0.0002,0.0002
52,185.573,0.72226,0.35742,0.97431,0.94134,1,0.98556,0.69423,1.1757,0.43888,1.29208,0.000164,0.000164,0.000164
53,188.765,0.70843,0.37025,0.98322,0.94128,1,0.98889,0.67728,1.18343,0.43496,1.29768,0.000128,0.000128,0.000128
54,192.218,0.66346,0.33325,0.93409,0.94175,1,0.995,0.67456,1.18071,0.4329,1.29086,9.2e-05,9.2e-05,9.2e-05
55,195.937,0.65223,0.34916,0.925,0.94175,1,0.995,0.68467,1.17532,0.4366,1.28538,5.6e-05,5.6e-05,5.6e-05
